ID,RA,DEC,Z,r_auto,manga_ID,u_aper_3,e_u_aper_3,SEX_FLAGS_u,J0378_aper_3,e_J0378_aper_3,SEX_FLAGS_J0378,J0395_aper_3,e_J0395_aper_3,SEX_FLAGS_J0395,J0410_aper_3,e_J0410_aper_3,SEX_FLAGS_J0410,J0430_aper_3,e_J0430_aper_3,SEX_FLAGS_J0430,g_aper_3,e_g_aper_3,SEX_FLAGS_g,J0515_aper_3,e_J0515_aper_3,SEX_FLAGS_J0515,r_aper_3,e_r_aper_3,SEX_FLAGS_r,J0660_aper_3,e_J0660_aper_3,SEX_FLAGS_J0660,i_aper_3,e_i_aper_3,SEX_FLAGS_i,J0861_aper_3,e_J0861_aper_3,SEX_FLAGS_J0861,z_aper_3,e_z_aper_3,SEX_FLAGS_z,zml,odds
iDR4_3_STRIPE82-0061_0019913,42.279157664495386,-0.9021678980082243,0.0249439,16.31999969482422,8078-12705,21.257898,0.12004858,3,20.677097,0.12111831,3,20.31527,0.12658903,3,20.191517,0.101383284,3,20.137283,0.092426464,3,19.714577,0.027134076,3,19.535583,0.0517012,3,19.092056,0.018717445,3,19.02238,0.021380547,3,18.811531,0.019200291,3,18.745003,0.038280606,3,18.6387,0.026624786,3,0.021083333,0.9954613
iDR4_3_STRIPE82-0065_0035625,45.96018311222881,-0.20440927514360968,0.0275917,14.699999809265137,8154-9102,20.247591,0.062185876,0,19.715872,0.06400516,0,19.470695,0.07480055,0,19.18866,0.05374807,0,18.855822,0.040589787,0,18.435987,0.016327655,0,18.113188,0.02175533,0,17.58328,0.009985609,0,17.472483,0.0087052835,0,17.137787,0.0070448224,0,16.865414,0.011184369,0,16.836376,0.0082395915,0,0.031166667,0.9955521
iDR4_3_STRIPE82-0067_0011186,46.294175467397324,-1.0754229286517034,0.0450558,15.170000076293945,9193-9101,19.81378,0.03841047,3,19.410242,0.044660203,3,19.224352,0.05537536,3,19.042244,0.045815106,3,18.513386,0.031562142,3,17.87997,0.00956996,3,17.43919,0.014818399,3,16.858791,0.005364814,3,16.796192,0.006159785,3,16.408134,0.0047412533,3,16.199205,0.00740253,3,16.122768,0.005298831,3,0.059166666,0.9744264
iDR4_3_STRIPE82-0072_0024325,49.92934767645183,0.565332637427566,0.0243398,15.079999923706055,8083-12703,18.578915,0.020330805,0,18.068708,0.022308555,0,18.010733,0.030201588,0,17.860956,0.023867521,0,17.712048,0.020499928,0,17.588755,0.008435919,0,17.365562,0.0146707045,0,16.97279,0.0057014385,0,17.068884,0.0071516926,0,16.761742,0.0054660896,0,16.653362,0.009535041,0,16.529095,0.006380551,0,0.020083332,0.9977137
iDR4_3_STRIPE82-0071_0037955,50.13832526469342,-0.3400273604468456,0.0382806,14.470000267028809,8083-9101,19.382936,0.040870063,3,18.891077,0.035980985,3,18.514004,0.03913025,3,18.289005,0.030525498,3,18.155552,0.033310454,3,17.402973,0.0077398047,3,17.176855,0.013500364,3,16.394356,0.004381537,3,16.32215,0.005947444,3,15.82605,0.0033407118,3,15.653901,0.005515277,3,15.576139,0.0037050243,3,0.035916667,0.9935319
iDR4_3_STRIPE82-0071_0009531,50.17886124634887,-1.1086109356180576,0.0209112,14.329999923706055,8083-12705,19.917738,0.045935046,3,19.409184,0.048404053,3,19.19638,0.059317704,3,18.942728,0.045993164,3,18.916866,0.052221883,3,18.508602,0.014100018,3,18.332155,0.026082886,3,17.731785,0.008915975,3,17.662361,0.012289652,3,17.35029,0.007851312,3,17.244402,0.014279008,3,17.127712,0.009651645,3,0.021416666,0.9976724
iDR4_3_STRIPE82-0074_0009433,50.696713471161,0.14944045148719903,0.0228308,14.25,8083-12704,20.672977,0.041181937,3,20.048124,0.04113917,3,20.07993,0.0643501,3,19.43061,0.033318393,3,19.06422,0.02326955,3,18.527475,0.0063121207,3,18.17596,0.011248988,3,17.531694,0.0036042463,3,17.378845,0.0039858855,3,16.997503,0.0030529525,3,16.800167,0.0053030225,3,16.683466,0.0034885712,3,0.022333333,0.99603456
iDR4_3_STRIPE82-0073_0039893,51.31772056272655,-0.4090053132530125,0.0376657,14.380000114440918,8085-9101,19.764612,0.04764287,2,19.064596,0.044755906,2,19.169403,0.059922725,2,18.639713,0.0370782,2,18.127634,0.026043499,2,17.512848,0.008120738,2,17.142626,0.013103564,2,16.521978,0.0046539255,2,16.34915,0.004939146,2,15.934047,0.0035803386,2,15.655785,0.0067245113,2,15.558397,0.0036824422,2,0.035,0.9942637
iDR4_3_STRIPE82-0073_0011797,51.409848615613164,-1.030173921067484,0.0289167,15.609999656677246,8085-12701,20.403944,0.06425557,3,19.943937,0.068811394,3,19.908535,0.09611419,3,19.653507,0.073767975,3,19.316114,0.05483402,3,19.188086,0.02087266,3,18.933308,0.036816433,3,18.515003,0.014106299,3,18.435844,0.015856009,3,18.156784,0.013276707,3,17.99891,0.024285989,3,17.917828,0.0173032,3,0.025,0.99253684
iDR4_3_STRIPE82-0116_0005442,319.91974782114994,0.12091657310005992,0.033224,15.319999694824219,8615-9101,20.658936,0.09510668,2,19.895092,0.0875723,2,19.634146,0.15348157,2,19.338615,0.081769615,2,18.961521,0.056570556,2,18.428885,0.0139141595,2,18.050442,0.023473868,2,17.406578,0.0078007,2,17.269436,0.008436722,2,16.81837,0.006321947,2,16.564232,0.009846207,2,16.443214,0.0069993036,2,0.036666665,0.99444187
